User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
cbirdsey,,2020-11-26T16:02:40Z,signin.amazonaws.com,ConsoleLogin,us-east-1,104.12.53.248,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",,[],,207c9eaa-34af-4a1d-987c-1eb3fb417967,false,AwsConsoleSignIn,374542718929,Management
CloudTrail,ASIAVOND4K7I3JDKADEZ,2020-11-26T15:58:14Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-1,104.12.53.248,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.893 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.272-b10 java/1.8.0_272 vendor/Oracle_Corporation]",AccessDenied,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-374542718929-udacity-trail""}]",22031B801AA4DE2A,58f2eab0-124c-4953-a038-a42c3312049d,false,AwsApiCall,374542718929,Management
CloudTrail,ASIAVOND4K7I3JDKADEZ,2020-11-26T15:58:14Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,104.12.53.248,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.893 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.272-b10 java/1.8.0_272 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-374542718929-udacity-trail""}]",41399FF45C534AF0,64d9487f-95a1-43df-b22a-de0a929d1a7c,false,AwsApiCall,374542718929,Management
CloudTrail,ASIAVOND4K7I3JDKADEZ,2020-11-26T15:58:14Z,s3.amazonaws.com,CreateBucket,us-east-1,104.12.53.248,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.893 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.272-b10 java/1.8.0_272 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-374542718929-udacity-trail""}]",C68F6B2F39D461B3,b1f802e4-4266-4851-8bd2-91c068644925,false,AwsApiCall,374542718929,Management
CloudTrail,,2020-11-26T15:46:31Z,signin.amazonaws.com,ConsoleLogin,us-east-1,104.12.53.248,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",,[],,7ea73bdb-12e1-4b2f-b48f-aad78484b2d2,false,AwsConsoleSignIn,374542718929,Management
Accountant,ASIAVOND4K7I2HFZPKGL,2020-11-26T15:46:00Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],3b65963e-21a3-4846-a13d-a3b4d552c5a4,2a11fabb-33b6-44b8-9ec1-abe7e37e160e,false,AwsApiCall,374542718929,Management
Accountant,,2020-11-26T15:45:47Z,signin.amazonaws.com,ConsoleLogin,us-east-1,104.12.53.248,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",,[],,4577f46a-2a57-4301-9f62-c9a19b8247f1,false,AwsConsoleSignIn,374542718929,Management
CloudTrail,ASIAVOND4K7IRTXRXP2V,2020-11-26T15:44:08Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],2c271a59-5a73-4a8a-9b0b-57ba70f2f18f,33c80228-6cc5-4d71-992f-78a368e5e0c1,false,AwsApiCall,374542718929,Management
CloudTrail,,2020-11-26T15:43:55Z,signin.amazonaws.com,ConsoleLogin,us-east-1,104.12.53.248,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",,[],,12ca97da-ff6c-4c87-8f03-87d677ef743e,false,AwsConsoleSignIn,374542718929,Management
cbirdsey,ASIAVOND4K7ITDHMIXM4,2020-11-26T15:42:52Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,104.12.53.248,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",982e70eb-4bbc-40c7-9b0a-cc3fe5b90095,2764813b-642f-4c17-9149-4ec64b6326bb,false,AwsApiCall,374542718929,Management
